#A       sigma2  tau     lambda    accum
6.41847 8.02075 22.8173 0.0293176 0 
6.41847 7.96292 24.8102 0.029447 0 
6.41847 7.96798 23.8811 0.0296684 0 
6.41847 8.04523 20.8739 0.0294022 0 
6.41847 7.94363 26.4249 0.0293252 0 
6.41847 7.95066 25.4812 0.0296689 0 
6.41847 7.93622 26.0746 0.0299357 0 
6.41847 7.91484 26.3035 0.0300594 0 
6.41847 7.88072 27.2638 0.030495 0 
6.41847 7.91271 24.9414 0.030778 0 
6.41847 7.89734 24.2607 0.031581 0 
6.41847 7.8424 28.0709 0.0317251 0 
6.41847 7.81161 26.7876 0.0327403 0 
6.41847 7.75076 27.1589 0.0344292 0 
6.41847 7.77933 25.5769 0.0349237 0 
6.41847 7.7296 24.8097 0.037862 0 
6.41847 7.74196 23.1101 0.0376985 0 
6.41847 7.59028 25.6097 0.044239 0 
6.41847 7.44554 26.3424 0.0575167 0 
6.41847 7.52566 22.6223 0.0570141 0 
6.41847 7.39605 26.0569 0.0716065 0 
6.41847 7.23444 27.8327 0.156003 0 
6.41847 7.19993 24.9644 0.253323 0 
6.41847 7.59001 24.8482 0.0462733 0 
6.41847 7.32542 24.9255 0.0955478 0 
6.41847 7.38982 24.9061 0.0742382 0 
6.41847 7.2986 29.8953 0.0814889 0 
6.41847 7.19013 35.6324 0.105929 0 
6.41847 7.27879 27.2538 0.114105 0 
6.41847 7.40314 26.5644 0.0651375 0 
6.41847 7.31977 27.0201 0.0905331 0 
6.41847 7.38212 26.6769 0.0698999 0 
6.41847 7.32778 30.5596 0.0736784 0 
6.41847 7.29951 31.0418 0.0818104 0 
6.41847 7.2589 33.81 0.089666 0 
6.41847 7.2232 36.7538 0.0877908 0 
6.41847 7.13977 46.2661 0.0994191 0 
6.41847 7.2202 34.2547 0.0970187 0 
6.41847 7.30059 31.4063 0.0782861 0 
6.41847 7.2468 33.2493 0.0897561 0 
6.41847 7.28707 31.8476 0.0808411 0 
6.41847 7.24118 36.9044 0.0853266 0 
6.41847 7.2128 41.8104 0.0873997 0 
6.41847 7.20335 41.3902 0.0909518 0 
6.41847 7.12873 55.6593 0.0969664 0 
6.41847 7.25605 34.8963 0.085094 0 
6.41847 7.22479 41.7564 0.0876952 0 
6.41847 7.22558 44.8072 0.0876475 0 
6.41847 7.2592 37.2368 0.0828849 0 
6.41847 7.20852 47.2694 0.0867842 0 
6.41847 7.24411 37.3384 0.0855097 0 
6.41847 7.1955 43.6494 0.0912721 0 
6.41847 7.21132 41.8473 0.0890041 0 
6.41847 7.24068 38.7087 0.0873537 0 
6.41847 7.25471 37.3246 0.0873308 0 
6.41847 7.21639 43.5248 0.0906632 0 
6.41847 7.25265 39.6073 0.0880729 0 
6.41847 7.27349 38.5751 0.0876153 0 
6.41847 7.28582 35.5457 0.0846567 0 
